city,incoming,outgoing
Aspen/CO,143.4794520547945,143.5068493150685
Atlanta/GA,9988.931506849314,9990.547945205479
Atlantic City/NJ,96.13698630136986,96.1917808219178
Austin/TX,1428.1643835616437,1427.890410958904
Baltimore/MD,2767.6438356164385,2767.5342465753424
Boise/ID,435.5342465753424,435.5068493150685
Boston/MA,3437.041095890411,3437.150684931507
Charleston/SC,378.3013698630137,378.24657534246575
Chicago/IL,9682.0,9684.356164383562
Dallas/TX,1905.205479452055,1905.0958904109589
Daytona Beach/FL,55.013698630136986,55.013698630136986
Detroit/MI,3471.205479452055,3468.7397260273974
Eau Claire/WI,18.52054794520548,18.52054794520548
Grand Rapids/MI,298.8493150684932,298.93150684931504
Harrisburg/PA,85.01369863013699,85.01369863013699
Houston/TX,5031.698630136986,5032.657534246575
Kansas City/MO,1234.876712328767,1234.6575342465753
Key West/FL,43.397260273972606,43.36986301369863
Las Vegas/NV,4156.958904109589,4156.712328767124
Los Angeles/CA,5871.534246575343,5871.123287671233
Louisville/KY,272.7671232876712,272.7671232876712
Memphis/TN,400.6849315068493,400.57534246575347
Miami/FL,1862.0547945205478,1861.86301369863
Midland/TX,146.3013698630137,146.3013698630137
Milwaukee/WI,826.4109589041095,826.3561643835617
Missoula/MT,66.71232876712328,66.68493150684932
Nashville/TN,1507.7534246575342,1507.6438356164383
New Orleans/LA,1284.3013698630136,1284.2739726027398
New York/NY,5143.9178082191775,5144.657534246576
Oakland/CA,1381.205479452055,1382.2191780821918
Orlando/FL,3616.3835616438355,3616.3835616438355
Philadelphia/PA,2004.2191780821918,2004.0
Phoenix/AZ,4210.493150684932,4210.739726027397
Portland/OR,1716.6849315068494,1716.876712328767
Raleigh/NC,984.6575342465753,984.5753424657535
Rochester/NY,208.35616438356166,208.35616438356166
San Antonio/TX,904.2465753424658,903.8904109589041
San Diego/CA,2302.5753424657532,2302.904109589041
San Francisco/CA,4768.739726027397,4767.534246575343
San Jose/CA,1345.8904109589043,1346.054794520548
Seattle/WA,3757.8356164383563,3758.246575342466
Spokane/WA,319.9178082191781,319.94520547945206
Tampa/FL,1922.2739726027396,1921.917808219178
