city,percent_diff
Missoula/MT,57.42452249
Rochester/NY,18.78698225
Seattle/WA,16.88270266
Spokane/WA,16.74373796
Chicago/IL,12.98976335
Portland/OR,12.18671454
San Diego/CA,11.64961333
San Francisco/CA,11.42716779
Grand Rapids/MI,10.57564508
Aspen/CO,9.412887828
Charleston/SC,8.651408706
Boise/ID,7.228006165
Los Angeles/CA,7.028583294
Raleigh/NC,6.894416851
San Jose/CA,6.540058622
Louisville/KY,6.317798313
Austin/TX,5.985361549
Boston/MA,5.961547659
Baltimore/MD,5.868319194
Milwaukee/WI,5.822530915
Detroit/MI,5.822161163
Oakland/CA,5.593615228
Daytona Beach/FL,5.428286853
Nashville/TN,4.662826407
New York/NY,4.504264605
Philadelphia/PA,4.26076555
Kansas City/MO,4.23018039
Atlantic City/NJ,3.988603989
Memphis/TN,3.961225467
Atlanta/GA,3.756456967
Las Vegas/NV,3.468128087
Houston/TX,1.963800092
San Antonio/TX,1.375062503
Midland/TX,0.81928839
Orlando/FL,0.694518099
Harrisburg/PA,0.572027071
Dallas/TX,0.385760304
Phoenix/AZ,0.294103294
Eau Claire/WI,-0.110946746
Miami/FL,-0.427447893
New Orleans/LA,-2.358324534
Key West/FL,-4.341648248
Tampa/FL,-4.947510209
